143841.848|INFO |main                          |com.yada.efktest.efktest.EfktestApplication|Starting EfktestApplication on fengmingdeMBP with PID 61716 (/Users/fengmingjiang/IdeaProjects/efktest/target/classes started by fengmingjiang in /Users/fengmingjiang/IdeaProjects/efktest)
143841.864|INFO |main                          |com.yada.efktest.efktest.EfktestApplication|No active profile set, falling back to default profiles: default
143843.580|INFO |main                          |org.springframework.boot.web.embedded.tomcat.TomcatWebServer|Tomcat initialized with port(s): 8080 (http)
143843.607|INFO |main                          |org.apache.coyote.http11.Http11NioProtocol|Initializing ProtocolHandler ["http-nio-8080"]
143843.608|INFO |main                          |org.apache.catalina.core.StandardService|Starting service [Tomcat]
143843.609|INFO |main                          |org.apache.catalina.core.StandardEngine|Starting Servlet engine: [Apache Tomcat/9.0.27]
143843.720|INFO |main                          |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]|Initializing Spring embedded WebApplicationContext
143843.720|INFO |main                          |org.springframework.web.context.ContextLoader|Root WebApplicationContext: initialization completed in 1765 ms
143843.968|INFO |main                          |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor|Initializing ExecutorService 'applicationTaskExecutor'
143844.168|INFO |main                          |org.apache.coyote.http11.Http11NioProtocol|Starting ProtocolHandler ["http-nio-8080"]
143844.226|INFO |main                          |org.springframework.boot.web.embedded.tomcat.TomcatWebServer|Tomcat started on port(s): 8080 (http) with context path ''
143844.232|INFO |main                          |com.yada.efktest.efktest.EfktestApplication|Started EfktestApplication in 3.006 seconds (JVM running for 5.026)
144037.846|INFO |SpringContextShutdownHook     |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor|Shutting down ExecutorService 'applicationTaskExecutor'
144055.107|INFO |main                          |org.springframework.boot.test.context.SpringBootTestContextBootstrapper|Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.yada.efktest.efktest.EfktestApplicationTests], using SpringBootContextLoader
144055.122|INFO |main                          |org.springframework.test.context.support.AbstractContextLoader|Could not detect default resource locations for test class [com.yada.efktest.efktest.EfktestApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
144055.123|INFO |main                          |org.springframework.test.context.support.AnnotationConfigContextLoaderUtils|Could not detect default configuration classes for test class [com.yada.efktest.efktest.EfktestApplicationTests]: EfktestApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
144055.314|INFO |main                          |org.springframework.boot.test.context.SpringBootTestContextBootstrapper|Found @SpringBootConfiguration com.yada.efktest.efktest.EfktestApplication for test class com.yada.efktest.efktest.EfktestApplicationTests
