123647.377|INFO |main                          |org.springframework.boot.test.context.SpringBootTestContextBootstrapper|Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.yada.efktest.efktest.EfktestApplicationTests], using SpringBootContextLoader
123647.399|INFO |main                          |org.springframework.test.context.support.AbstractContextLoader|Could not detect default resource locations for test class [com.yada.efktest.efktest.EfktestApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
123647.400|INFO |main                          |org.springframework.test.context.support.AnnotationConfigContextLoaderUtils|Could not detect default configuration classes for test class [com.yada.efktest.efktest.EfktestApplicationTests]: EfktestApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
123647.540|INFO |main                          |org.springframework.boot.test.context.SpringBootTestContextBootstrapper|Found @SpringBootConfiguration com.yada.efktest.efktest.EfktestApplication for test class com.yada.efktest.efktest.EfktestApplicationTests
123647.653|INFO |main                          |org.springframework.boot.test.context.SpringBootTestContextBootstrapper|Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
123647.668|INFO |main                          |org.springframework.boot.test.context.SpringBootTestContextBootstrapper|Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6e57e95e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2755d705, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@56db847e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@740abb5, org.springframework.test.context.support.DirtiesContextTestExecutionListener@560cbf1a, org.springframework.test.context.event.EventPublishingTestExecutionListener@5fe8b721, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@551a20d6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@578524c3, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@64c2b546, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7e094740, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7a11c4c7]
123648.047|INFO |main                          |com.yada.efktest.efktest.EfktestApplicationTests|Starting EfktestApplicationTests on zhangqiandongdeMacBook-Pro.local with PID 55795 (started by zhangqiandong in /Users/zhangqiandong/workProjects/efktest)
123648.050|INFO |main                          |com.yada.efktest.efktest.EfktestApplicationTests|No active profile set, falling back to default profiles: default
123649.224|INFO |main                          |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor|Initializing ExecutorService 'applicationTaskExecutor'
123649.529|INFO |main                          |com.yada.efktest.efktest.EfktestApplicationTests|Started EfktestApplicationTests in 1.818 seconds (JVM running for 3.721)
123649.862|INFO |SpringContextShutdownHook     |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor|Shutting down ExecutorService 'applicationTaskExecutor'
123713.676|INFO |main                          |org.springframework.boot.test.context.SpringBootTestContextBootstrapper|Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.yada.efktest.efktest.EfktestApplicationTests], using SpringBootContextLoader
123713.689|INFO |main                          |org.springframework.test.context.support.AbstractContextLoader|Could not detect default resource locations for test class [com.yada.efktest.efktest.EfktestApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
123713.690|INFO |main                          |org.springframework.test.context.support.AnnotationConfigContextLoaderUtils|Could not detect default configuration classes for test class [com.yada.efktest.efktest.EfktestApplicationTests]: EfktestApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
123713.806|INFO |main                          |org.springframework.boot.test.context.SpringBootTestContextBootstrapper|Found @SpringBootConfiguration com.yada.efktest.efktest.EfktestApplication for test class com.yada.efktest.efktest.EfktestApplicationTests
123713.897|INFO |main                          |org.springframework.boot.test.context.SpringBootTestContextBootstrapper|Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
123713.907|INFO |main                          |org.springframework.boot.test.context.SpringBootTestContextBootstrapper|Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@740abb5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@560cbf1a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5fe8b721, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@551a20d6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@578524c3, org.springframework.test.context.event.EventPublishingTestExecutionListener@64c2b546, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7e094740, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7a11c4c7, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4cc547a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7555b920, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4152d38d]
123714.271|INFO |main                          |com.yada.efktest.efktest.EfktestApplicationTests|Starting EfktestApplicationTests on zhangqiandongdeMacBook-Pro.local with PID 55804 (started by zhangqiandong in /Users/zhangqiandong/workProjects/efktest)
123714.276|INFO |main                          |com.yada.efktest.efktest.EfktestApplicationTests|No active profile set, falling back to default profiles: default
123715.437|INFO |main                          |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor|Initializing ExecutorService 'applicationTaskExecutor'
